No,Bahasa Manado,Bahasa Indonesia
1,Abu,Debu
2,Ada Baapa,Sedang Apa
3,Ada Baapa,Lagi Ngapain 
4,Aer,Air
5,Aer Nae,Air Pasang
6,Afker,Gagal
7,Ajus,Ibu
8,Ajus ,Mama
9,Akang,Kan
10,Alus,Halus
11,Alus Manis,Permen Gulali
12,Ambe,Ambil
13,Ambe,Ambil
14,Ambe ,Ambil
15,Ambe Akang,Ambilkan
16,Ambor,Hambur
17,Ampat,Empat
18,Amper,Dekat
19,Amper ,Hampir
20,Anam,Enam
21,Ancor,Hancur
22,Angka,Angkat
23,Angus,Hangus
24,Anyer,Bau Anyir
25,Anyor,Hanyut
26,Asang,Asam
27,Asin,Ba Garam
28,Ato,Atau
29,Ator,Atur
30,Aus,Haus
31,Avonturir,Tidak Lazim 
32,Aya-Aya,Ayakan
33,Ba,Ber (Awalan)
34,Ba Lamu,Bicara Bohong
35,Ba Sorong,Minggir
36,Baangka,Ba (Awalan) 
37,Baanyor,Menghayutkan Diri
38,Baba,Ber (Awalan)
39,Babaca,Membaca
40,Babacirita,Sedang Bercerita
41,Babale,Berbalik
42,Babale,Kembali
43,Bacere,Bercerai
44,Bacerita,Berbicara
45,Bacubi,Berkedip
46,Bacuci,Mencuci
47,Badansa,Berdansa
48,Badiang,Berdiam
49,Badiri,Berdiri
50,Badonci,Dance
51,Badonci,Menari
52,Badonci,Banyak Minta
53,Badonci,Banyak Kemauan
54,Badusta,Berbohong
55,Bae-Bae,Baik-Baik
56,Baflek,Bernoda
57,Bafloit,Bersiul
58,Bagadang,Begadang
59,Bagara,Mengejek
60,Bagaram,Terasa Asin
61,Bagate,Sedang Mabuk
62,Bagaya,Bergaya
63,Bage,Pukul
64,Bagitu,Begitu
65,Bahoba,Mengintip
66,Bahugel,Selingkuh
67,Bajadi,Berubah Kelakuan
68,Bajalang,Berjalan
69,Bajongko,Berjongkok
70,Bajual,Berjualan
71,Bajubi,Memanah Ikan
72,Bakaca,Bercermin
73,Bakalae,Berkelahi
74,Bakao,Menggonggong
75,Bakimu,Jarang Dicuci
76,Bakimu,Jarang Mandi
77,Bakimu,Makanan NonLayak
78,Baklae,Berkelahi
79,Baklak,Melapor
80,Bakondisi,Sarapan
81,Baku,Saling
82,Baku Ambe,Adu Argumentasi
83,Baku Bawa,Bersama-Sama
84,Baku Cakar,Saling Cakar
85,Baku Cako,Semrawut
86,Baku Ciong,Berciuman
87,Baku Dapa,Bertemu
88,Baku Dusu,Berkejaran
89,Baku Feyem,Musuhan
90,Baku Feyem,Marahan
91,Baku Gara,Saling Ejek
92,Baku Iko,Ikutan
93,Baku Nae,Bersetubuh
94,Baku Pangko,Berpangkuan
95,Baku Rampas,Berebutan
96,Baku Riki,Sempat-Sempatnya
97,Baku Sabi Jalang,Tidak Berpapasan
98,Baku Sayang,Saling Sayang
99,Baku Sedu,Bercanda
100,Baku Slak,Kebetulan Bertemu
101,Baku Tada,Berkelahi
102,Baku Tada,Baku Pukul
103,Baku Tada,Berkelahi
104,Baku Tunta,Bersetubuh
105,Bakubawa,Bersama-Sama
106,Bakudapa,Bertemu
107,Bakudapa,Bertemu
108,Bakuku,Berteriak
109,Bakusedu,Bercanda
110,Balah,Belah
111,Balak,Kayu Potong
112,Balakama,Kemangi
113,Balari,Berlari
114,Bale,Kembali
115,Bale,Balik
116,Baleo,Berbohong
117,Baleo,Bohong
118,Balolo,Ambil Sesuatu
119,Balumpa,Melompat
120,Ban,Ikat Pinggang
121,Bandera,Bendera
122,Bangka,Bengkak
123,Bangku,Kursi
124,Bangong,Bangun
125,Banjer,Banjir
126,Banoda,Bernoda
127,Bantal Polo,Bantal Guling
128,Baobat,Berobat
129,Baober,Bicara Banyak
130,Baojo,Duduk Santai 
131,Baotot,Berotot
132,Bapacol,Mencangkul
133,Bapaksa,Memaksa
134,Bapancing,Minum Miras
135,Bapancing,Memancing
136,Bapato,Mengintip
137,Bapece,Becek
138,Bapete,Memetik
139,Bapici,Menghitung Uang
140,Bapici,Remas
141,Baplaka,Tengkurap
142,Bapontar,Jalan-Jalan
143,Baposo,Berpantang (Makanan)
144,Bapotong Jalan,Menyeberang Jalan
145,Baprong,Menghias
146,Baputar,Berputar
147,Barabe,Membelalakan Mata
148,Barabe,Teriak Emosi
149,Barasa,Berasa
150,Baringus,Beringus
151,Barol,Jagoan (Film)
152,Baron,Berputar 
153,Baron,Jalan Berbeda
154,Baruba,Berubah
155,Bas,Tukang Bangunan
156,Basar,Besar
157,Basei,Menghindar
158,Basmengken,Memakai Lipstick
159,Basosapu,Menyapu
160,Basosere,Menghina
161,Baspik,Nyontek
162,Bastot,Keluar Kencang
163,Basuar,Berkeringat
164,Basudara,Bersaudara
165,Bataruh,Bertaruh
166,Batata,Ubi Jalar
167,Baterek,Meledek
168,Bateto,Mematuk
169,Batifar,Menyadap Saguer
170,Bato,Batuk
171,Batobo,Berenang
172,Batona,Pacaran
173,Batoto,Menyusui
174,Batowo,Berbohong
175,Batrap-Trap,Bersusun-Susun
176,Batunangan,Bertunangan
177,Bau Asang,Bau Sangit
178,Bauni,Menonton
179,Begal,Nakal
180,Beinnen,Ban Dalam
181,Bekeng,Bikin
182,Bekeng Diri,Sombong
183,Beking,Buat
184,Beking,Bikin
185,Beking Diri,Belagu
186,Bembeng,Jinjing
187,Bentol-Bentol,Bengkak
188,Bera,Berak
189,Berbage,Berbagi
190,Besae,Jelek
191,Bia,Keong
192,Bicara Konga,Pepesan Kosong
193,Bifi,Semut
194,Binaut,Panas
195,Bingo,Bingung
196,Biongo,Bodoh
197,Birman,Tetangga
198,Bisae,Jelek
199,Bise,Bisik
200,Blanga,Belanga
201,Blangket,Selimut
202,Blante,Tukar-Tambah
203,Blas,Lecet
204,Blek,Kaleng
205,Bli,Beli
206,Bobaso,Cuci Baju
207,Bobaso ,Mencuci Baju
208,Bobento,Wajah Bengkak
209,Bobira,Jerawat
210,Boboca,Gurita
211,Bobou,Bau
212,Bok,Tikungan
213,Boke,Babi
214,Bolotu,Pelit
215,Boto-Boto,Belalang
216,Boton,Tidak Lazim 
217,Bramakusu,Serai
218,Brenebon,Kacang Merah
219,Brenti,Berhenti
220,Brur,Seusia
221,Brur,Pria Sebaya
222,Budo,Hampir Albino
223,Budo Makao,Albino
224,Budo Makao,Kulit Putih
225,Buju,Bujuk
226,Buku Buku,Lutut
227,Buku-Buku,Lutut
228,Bulu,Bambu
229,Bulum,Belum
230,Bundur,Sikat
231,Bunung,Bunuh
